name,ptype,xtype,dim,mb,ml,mu,mcon,mlcon,mnlcon,m_ub,m_eq,m_linear_ub,m_linear_eq,m_nonlinear_ub,m_nonlinear_eq,f0,isfeasibility,isgrad,ishess,isjcub,isjceq,ishcub,ishceq,argins,dims,mbs,mls,mus,mcons,mlcons,mnlcons,m_ubs,m_eqs,m_linear_ubs,m_linear_eqs,m_nonlinear_ubs,m_nonlinear_eqs,f0s
COSHFUN,n,r,25,0,0,0,8,0,8,8,0,0,0,8,0,0,0,1,1,1,0,1,0,3    8   14   20  200,10   25   43   61  601,0  0  0  0  0,0  0  0  0  0,0  0  0  0  0,3    8   14   20  200,0  0  0  0  0,3    8   14   20  200,3    8   14   20  200,0  0  0  0  0,0  0  0  0  0,0  0  0  0  0,3    8   14   20  200,0  0  0  0  0,0  0  0  0  0
COSINE,u,r,10,0,0,0,0,0,0,0,0,0,0,0,0,7.898243057,0,1,1,0,0,0,0,10  100,10  100,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,7.89824      86.8807
CRAGGLVY,u,r,10,0,0,0,0,0,0,0,0,0,0,0,0,3303.566517,0,1,1,0,0,0,0,1    4   24   49  249  499,4    10    50   100   500  1000,0  0  0  0  0  0,0  0  0  0  0  0,0  0  0  0  0  0,0  0  0  0  0  0,0  0  0  0  0  0,0  0  0  0  0  0,0  0  0  0  0  0,0  0  0  0  0  0,0  0  0  0  0  0,0  0  0  0  0  0,0  0  0  0  0  0,0  0  0  0  0  0,2.266182511      3303.566517      25312.23541      52823.07153      272909.7605      548018.1217
CRESC4,n,r,6,5,4,1,8,0,8,8,0,0,0,8,0,2.882185579,0,1,1,1,0,1,0,,,,,,,,,,,,,,,
CRESC50,n,r,6,5,4,1,100,0,100,100,0,0,0,100,0,2.882185579,0,1,1,1,0,1,0,,,,,,,,,,,,,,,
CSFI1,n,r,5,6,5,1,4,0,4,2,2,0,0,2,2,-0.5,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
CSFI2,n,r,5,5,5,0,4,0,4,2,2,0,0,2,2,0.5,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
CUBE,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,749.0384,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
CUBENE,n,r,2,0,0,0,2,1,1,0,2,0,1,0,1,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
CURLY10,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,-0.000759275,0,1,1,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,-0.0062372
CURLY20,u,r,25,0,0,0,0,0,0,0,0,0,0,0,0,-0.002417127,0,1,1,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,-0.012965
CURLY30,u,r,35,0,0,0,0,0,0,0,0,0,0,0,0,-0.005146698,0,1,1,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,-0.020383
CVXQP1,l,r,10,20,10,10,5,5,0,0,5,0,5,0,0,61.875,0,1,1,0,0,0,0,10   50  100,10   50  100,20  100  200,10   50  100,10   50  100,5  25  50,5  25  50,0  0  0,0  0  0,5  25  50,0  0  0,5  25  50,0  0  0,0  0  0,61.875       1434.375        5681.25
CYCLIC3,n,r,12,0,0,0,12,2,10,0,12,0,2,0,10,0,1,1,1,0,1,0,1,4   10  100,6   12  102,0  0  0,0  0  0,0  0  0,6   12  102,2  2  2,4   10  100,0  0  0,6   12  102,0  0  0,2  2  2,0  0  0,4   10  100,0  0  0
CYCLIC3LS,u,r,12,0,0,0,0,0,0,0,0,0,0,0,0,9.98001e+18,0,1,1,0,0,0,0,4   10  100,6   12  102,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,3.992004e+18            9.98001e+18  9.980009999999974e+19
CYCLOOCF,n,r,20,0,0,0,16,0,16,0,16,0,0,0,16,0,1,1,1,0,1,0,1,8  100,20  296,0  0,0  0,0  0,16  200,0  0,16  200,0  0,16  200,0  0,0  0,0  0,16  200,0  0
CYCLOOCFLS,u,r,20,0,0,0,0,0,0,0,0,0,0,0,0,43.42209201,0,1,1,0,0,0,0,8  100,20  296,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,43.42209      512.3281
CYCLOOCT,n,r,24,8,4,4,16,0,16,0,16,0,0,0,16,0,1,1,1,0,1,0,1,8  100,24  300,8  8,4  4,4  4,16  200,0  0,16  200,0  0,16  200,0  0,0  0,0  0,16  200,0  0
CYCLOOCTLS,b,r,24,8,4,4,0,0,0,0,0,0,0,0,0,46.83615451,0,1,1,0,0,0,0,8  100,24  300,8  8,4  4,4  4,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,46.83615      511.8013
CmRELOAD,n,r,342,600,342,258,284,26,258,84,200,0,26,84,174,-0.956145,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
DALLASS,l,r,46,92,46,46,31,31,0,0,31,0,31,0,0,12499373.52,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DANIWOOD,n,r,2,0,0,0,6,0,6,0,6,0,0,0,6,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
DANIWOODLS,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,149.7192191,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DANWOOD,n,r,2,0,0,0,6,0,6,0,6,0,0,0,6,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
DANWOODLS,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,149.7192191,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DECONVB,b,r,63,86,63,23,0,0,0,0,0,0,0,0,0,110.3540186,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DECONVBNE,n,r,63,86,63,23,40,0,40,0,40,0,0,0,40,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
DECONVC,n,r,63,75,63,12,1,0,1,0,1,0,0,0,1,110.3540186,0,1,1,0,1,0,1,,,,,,,,,,,,,,,
DECONVU,b,r,63,24,12,12,0,0,0,0,0,0,0,0,0,110.3540186,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DEGDIAG,b,r,11,11,11,0,0,0,0,0,0,0,0,0,0,22,0,1,1,0,0,0,0,10   50  100,11   51  101,11   51  101,11   51  101,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,0  0  0,22  102  202
DEGENLPA,l,r,20,40,20,20,15,15,0,0,15,0,15,0,0,533.369,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DEGENLPB,l,r,20,40,20,20,15,15,0,0,15,0,15,0,0,-533.369,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DEGTRID,b,r,11,11,11,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,50  100,51  101,51  101,51  101,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,3  3
DEGTRID2,b,r,11,11,11,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,50  100,51  101,51  101,51  101,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,3  3
DEMBO7,n,r,16,32,16,16,20,1,19,20,0,1,0,19,0,284.7397494,0,1,1,1,0,1,0,,,,,,,,,,,,,,,
DEMYMALO,n,r,3,0,0,0,3,2,1,3,0,2,0,1,0,0,0,1,1,1,0,1,0,,,,,,,,,,,,,,,
DENSCHNA,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,7.952492442,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DENSCHNB,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DENSCHNBNE,n,r,2,0,0,0,3,2,1,0,3,0,2,0,1,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
DENSCHNC,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,889.3031475,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DENSCHND,u,r,3,0,0,0,0,0,0,0,0,0,0,0,0,83210000,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DENSCHNDNE,n,r,3,0,0,0,3,0,3,0,3,0,0,0,3,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
DENSCHNE,u,r,3,0,0,0,0,0,0,0,0,0,0,0,0,148.9993292,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DENSCHNF,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,416,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DENSCHNFNE,n,r,2,0,0,0,2,0,2,0,2,0,0,0,2,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
DEVGLA1,u,r,4,0,0,0,0,0,0,0,0,0,0,0,0,105126.834,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DEVGLA1NE,n,r,4,0,0,0,24,0,24,0,24,0,0,0,24,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
DEVGLA2,u,r,5,0,0,0,0,0,0,0,0,0,0,0,0,10940.08637,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DEVGLA2B,b,r,5,10,5,5,0,0,0,0,0,0,0,0,0,10940.08637,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DEVGLA2NE,n,r,5,0,0,0,16,0,16,0,16,0,0,0,16,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
DGOSPEC,b,r,3,6,3,3,0,0,0,0,0,0,0,0,0,1016,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DIAGIQB,b,r,10,20,10,10,0,0,0,0,0,0,0,0,0,4.75,0,1,1,0,0,0,0,10   50  100  500,10   50  100  500,20   100   200  1000,10   50  100  500,10   50  100  500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,4.75         -145.25         -707.75       -20207.75
DIAGIQE,b,r,10,20,10,10,0,0,0,0,0,0,0,0,0,12.5,0,1,1,0,0,0,0,10   50  100  500,10   50  100  500,20   100   200  1000,10   50  100  500,10   50  100  500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,12.5          62.5           125           625
DIAGIQT,b,r,10,20,10,10,0,0,0,0,0,0,0,0,0,16.25,0,1,1,0,0,0,0,10   50  100  500,10   50  100  500,20   100   200  1000,10   50  100  500,10   50  100  500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,16.25          246.25          908.75        21208.75
DIAGPQB,b,r,10,20,10,10,0,0,0,0,0,0,0,0,0,29.25,0,1,1,0,0,0,0,10   50  100  500,10   50  100  500,20   100   200  1000,10   50  100  500,10   50  100  500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,29.25          479.25         1791.75        42291.75
DIAGPQE,b,r,10,20,10,10,0,0,0,0,0,0,0,0,0,37.5,0,1,1,0,0,0,0,10   50  100  500,10   50  100  500,20   100   200  1000,10   50  100  500,10   50  100  500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,37.5           687.5            2625           63125
DIAGPQT,b,r,10,20,10,10,0,0,0,0,0,0,0,0,0,41.25,0,1,1,0,0,0,0,10   50  100  500,10   50  100  500,20   100   200  1000,10   50  100  500,10   50  100  500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,41.25          871.25         3408.75        83708.75
DIPIGRI,n,r,7,0,0,0,4,0,4,4,0,0,0,4,0,714,0,1,1,1,0,1,0,,,,,,,,,,,,,,,
DISC2,n,r,29,14,7,7,23,0,23,6,17,0,0,6,17,0.5,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
DISCS,n,r,36,18,15,3,66,0,66,48,18,0,0,48,18,78,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
DITTERT,n,r,61,86,61,25,37,11,26,0,37,0,11,0,26,0,0,1,1,0,1,0,1,2   3   4   5   6   7   8   9  10,9    19    35    61   105   183   327   601  1133,13    28    51    86   141   232   391   682  1233,9    19    35    61   105   183   327   601  1133,4    9   16   25   36   49   64   81  100,6    11    20    37    70   135   264   521  1034,5   7   9  11  13  15  17  19  21,1     4    11    26    57   120   247   502  1013,0  0  0  0  0  0  0  0  0,6    11    20    37    70   135   264   521  1034,0  0  0  0  0  0  0  0  0,5   7   9  11  13  15  17  19  21,0  0  0  0  0  0  0  0  0,1     4    11    26    57   120   247   502  1013,0  0  0  0  0  0  0  0  0
DIXCHLNG,n,r,10,0,0,0,5,0,5,0,5,0,0,0,5,313465.4313,0,1,1,0,1,0,1,,,,,,,,,,,,,,,
DIXCHLNV,n,r,10,10,10,0,5,0,5,0,5,0,0,0,5,308228.3201,0,1,1,0,1,0,1,10   50  100,10   50  100,10   50  100,10   50  100,0  0  0,5  25  50,0  0  0,5  25  50,0  0  0,5  25  50,0  0  0,0  0  0,0  0  0,5  25  50,308228.32014429      451518480.938837      13095178184.8979
DIXMAANA1,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,143.5,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,143.5             856            2851           14251
DIXMAANB,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,228.25,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,228.25          1409.5            4717           23617
DIXMAANC,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,395.5,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,395.5            2458            8233           41233
DIXMAAND,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,756.76,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,756.76         4722.76        15827.56        79283.56
DIXMAANE1,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,113.5,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,113.5      665.583333      2211.41667        11044.75
DIXMAANF,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,199.25,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,199.25      1225.29167      4098.20833       20514.875
DIXMAANG,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,365.5,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,365.5      2267.58333      7593.41667        38026.75
DIXMAANH,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,724.6,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,724.6      4518.93333      15143.0667         75852.4
DIXMAANI1,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,103.1666667,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,103.166667      603.591049      2004.88194      10012.2875
DIXMAANJ,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,189.1055556,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,189.105556      1164.29923      3894.94208       19498.644
DIXMAANK,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,355.1666667,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,355.166667      2205.59105      7386.88194      36994.2875
DIXMAANL,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,713.8586667,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,713.858667      4454.78138       14929.472      74784.8775
DIXMAANM1,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,52.5      286.25772      940.88194      4681.6208
DIXMAANN,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,100.7722222,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,100.772222      605.132562      2017.44208      10087.8106
DIXMAANO,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,178.5,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,178.5      1087.25772      3631.88194      18172.6208
DIXMAANP,u,r,15,0,0,0,0,0,0,0,0,0,0,0,0,346.392,0,1,1,0,0,0,0,5   30  100  500,15    90   300  1500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,346.392      2128.64805      7119.07204      35635.8109
DIXON3DQ,u,r,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,10  100,10  100,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,0  0,8  8
DJTL,u,r,2,0,0,0,0,0,0,0,0,0,0,0,0,-2641.363231,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DNIEPER,n,r,61,120,60,60,24,0,24,0,24,0,0,0,24,-891.019272,0,1,1,0,1,0,1,,,,,,,,,,,,,,,
DQRTIC,u,r,10,0,0,0,0,0,0,0,0,0,0,0,0,8773,0,1,1,0,0,0,0,10   50  100  500,10   50  100  500,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,8773       53651865     1854273730  6156790168650
DRCAV1LQ,b,r,196,192,96,96,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10   31   63  100,196   1225   4489  10816,192   528  1040  1632,96  264  520  816,96  264  520  816,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0
DRCAV2LQ,b,r,196,192,96,96,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10   31   63  100,196   1225   4489  10816,192   528  1040  1632,96  264  520  816,96  264  520  816,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0
DRCAV3LQ,b,r,196,192,96,96,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10   31   63  100,196   1225   4489  10816,192   528  1040  1632,96  264  520  816,96  264  520  816,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0,0  0  0  0
DRCAVTY1,n,r,196,192,96,96,100,0,100,0,100,0,0,0,100,0,1,1,1,0,1,0,1,10  31  63,196  1225  4489,192   528  1040,96  264  520,96  264  520,100   961  3969,0  0  0,100   961  3969,0  0  0,100   961  3969,0  0  0,0  0  0,0  0  0,100   961  3969,0  0  0
DRCAVTY2,n,r,196,192,96,96,100,0,100,0,100,0,0,0,100,0,1,1,1,0,1,0,1,10  31  63,196  1225  4489,192   528  1040,96  264  520,96  264  520,100   961  3969,0  0  0,100   961  3969,0  0  0,100   961  3969,0  0  0,0  0  0,0  0  0,100   961  3969,0  0  0
DRCAVTY3,n,r,196,192,96,96,100,0,100,0,100,0,0,0,100,0,1,1,1,0,1,0,1,10  31  63,196  1225  4489,192   528  1040,96  264  520,96  264  520,100   961  3969,0  0  0,100   961  3969,0  0  0,100   961  3969,0  0  0,0  0  0,0  0  0,100   961  3969,0  0  0
DRUGDIS,n,r,34,57,34,23,20,0,20,0,20,0,0,0,20,2.4,0,1,1,0,1,0,1,10   50  100  200  500,34   154   304   604  1504,57   257   507  1007  2507,34   154   304   604  1504,23   103   203   403  1003,20   100   200   400  1000,0  0  0  0  0,20   100   200   400  1000,0  0  0  0  0,20   100   200   400  1000,0  0  0  0  0,0  0  0  0  0,0  0  0  0  0,20   100   200   400  1000,2.4         2.4         2.4         2.4         2.4
DRUGDISE,n,r,63,76,53,23,50,0,50,0,50,0,0,0,50,2.4,0,1,1,0,1,0,1,10  100,63  603,76  706,53  503,23  203,50  500,0  0,50  500,0  0,50  500,0  0,0  0,0  0,50  500,2.4         2.4
DTOC1L,l,r,58,8,4,4,36,36,0,0,36,0,36,0,0,1.28125,0,1,1,0,0,0,0,10   50  100  500,58   298   598  2998,8  8  8  8,4  4  4  4,4  4  4  4,36   196   396  1996,36   196   396  1996,0  0  0  0,0  0  0  0,36   196   396  1996,0  0  0  0,36   196   396  1996,0  0  0  0,0  0  0  0,1.28125      6.90625      13.9375      70.1875
DTOC1NA,n,r,58,8,4,4,36,0,36,0,36,0,0,0,36,1.28125,0,1,1,0,1,0,1,10   50  100  500,58   298   598  2998,8  8  8  8,4  4  4  4,4  4  4  4,36   196   396  1996,0  0  0  0,36   196   396  1996,0  0  0  0,36   196   396  1996,0  0  0  0,0  0  0  0,0  0  0  0,36   196   396  1996,1.28125      6.90625      13.9375      70.1875
DTOC1NB,n,r,58,8,4,4,36,0,36,0,36,0,0,0,36,1.28125,0,1,1,0,1,0,1,10   50  100  500,58   298   598  2998,8  8  8  8,4  4  4  4,4  4  4  4,36   196   396  1996,0  0  0  0,36   196   396  1996,0  0  0  0,36   196   396  1996,0  0  0  0,0  0  0  0,0  0  0  0,36   196   396  1996,1.28125      6.90625      13.9375      70.1875
DTOC1NC,n,r,58,8,4,4,36,0,36,0,36,0,0,0,36,1.28125,0,1,1,0,1,0,1,10   50  100  500,58   298   598  2998,8  8  8  8,4  4  4  4,4  4  4  4,36   196   396  1996,0  0  0  0,36   196   396  1996,0  0  0  0,36   196   396  1996,0  0  0  0,0  0  0  0,0  0  0  0,36   196   396  1996,1.28125      6.90625      13.9375      70.1875
DTOC1ND,n,r,58,8,4,4,36,0,36,0,36,0,0,0,36,1.28125,0,1,1,0,1,0,1,10   50  100  500,58   298   598  2998,8  8  8  8,4  4  4  4,4  4  4  4,36   196   396  1996,0  0  0  0,36   196   396  1996,0  0  0  0,36   196   396  1996,0  0  0  0,0  0  0  0,0  0  0  0,36   196   396  1996,1.28125      6.90625      13.9375      70.1875
DTOC2,n,r,58,8,4,4,36,0,36,0,36,0,0,0,36,0.46875,0,1,1,0,1,0,1,10   50  100  500,58   298   598  2998,8  8  8  8,4  4  4  4,4  4  4  4,36   196   396  1996,0  0  0  0,36   196   396  1996,0  0  0  0,36   196   396  1996,0  0  0  0,0  0  0  0,0  0  0  0,36   196   396  1996,0.46875     0.46875     0.46875     0.46875
DTOC3,l,r,29,4,2,2,18,18,0,0,18,0,18,0,0,0,0,1,1,0,0,0,0,10   50  100  500,29   149   299  1499,4  4  4  4,2  2  2  2,2  2  2  2,18   98  198  998,18   98  198  998,0  0  0  0,0  0  0  0,18   98  198  998,0  0  0  0,18   98  198  998,0  0  0  0,0  0  0  0,0  0  0  0
DTOC4,n,r,29,4,2,2,18,9,9,0,18,0,9,0,9,0.25,0,1,1,0,1,0,1,10   50  100  500,29   149   299  1499,4  4  4  4,2  2  2  2,2  2  2  2,18   98  198  998,9   49   99  499,9   49   99  499,0  0  0  0,18   98  198  998,0  0  0  0,9   49   99  499,0  0  0  0,9   49   99  499,0.25        0.05       0.025       0.005
DTOC5,n,r,19,2,1,1,9,0,9,0,9,0,0,0,9,0.1,0,1,1,0,1,0,1,10   50  100  500,19   99  199  999,2  2  2  2,1  1  1  1,1  1  1  1,9   49   99  499,0  0  0  0,9   49   99  499,0  0  0  0,9   49   99  499,0  0  0  0,0  0  0  0,0  0  0  0,9   49   99  499,0.1        0.02        0.01       0.002
DTOC6,n,r,21,2,1,1,10,0,10,0,10,0,0,0,10,5,0,1,1,0,1,0,1,11   21   31   41   51   61   71   81   91  101,21   41   61   81  101  121  141  161  181  201,2  2  2  2  2  2  2  2  2  2,1  1  1  1  1  1  1  1  1  1,1  1  1  1  1  1  1  1  1  1,10   20   30   40   50   60   70   80   90  100,0  0  0  0  0  0  0  0  0  0,10   20   30   40   50   60   70   80   90  100,0  0  0  0  0  0  0  0  0  0,10   20   30   40   50   60   70   80   90  100,0  0  0  0  0  0  0  0  0  0,0  0  0  0  0  0  0  0  0  0,0  0  0  0  0  0  0  0  0  0,10   20   30   40   50   60   70   80   90  100,5  10  15  20  25  30  35  40  45  50
DUAL1,l,r,85,170,85,85,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DUAL2,l,r,96,192,96,96,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DUAL4,l,r,75,150,75,75,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
DUALC1,l,r,9,18,9,9,215,215,0,214,1,214,1,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
ECKERLE4,n,r,3,0,0,0,35,0,35,0,35,0,0,0,35,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,
